               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11174,            0.070962,             0.10635,                   0,                   0,                   0,                   0,             0.10387,            0.057242,             0.10382,              0.0015,              0.0015,              0.0865
                   1,             0.10972,            0.070675,             0.10575,                   0,                   0,                   0,                   0,             0.10291,            0.057813,             0.10383,           0.0030969,           0.0030969,            0.072097
                   2,              0.1071,            0.075027,             0.10491,                   0,                   0,                   0,                   0,             0.10213,            0.058539,             0.10384,           0.0046907,           0.0046907,            0.057691
                   3,             0.10533,            0.077275,             0.10479,                   0,                   0,                   0,                   0,             0.10159,            0.059043,             0.10386,           0.0062813,           0.0062813,            0.043281
                   4,             0.10491,            0.080824,             0.10357,                   0,                   0,                   0,                   0,             0.10118,            0.059433,             0.10375,           0.0078687,           0.0078687,            0.028869
                   5,              0.1041,            0.077777,             0.10348,                   0,                   0,                   0,                   0,             0.10099,            0.059631,             0.10369,            0.009453,            0.009453,            0.014453
                   6,             0.10298,            0.078003,             0.10319,          1.9328e-05,          0.00060996,          1.0116e-05,          1.8143e-06,             0.10417,            0.056823,             0.10232,           0.0099406,           0.0099406,           0.0099406
                   7,             0.10364,             0.08068,             0.10255,            0.014408,           0.0056841,          0.00017073,          2.5939e-05,             0.10946,            0.051805,             0.10443,           0.0099406,           0.0099406,           0.0099406
                   8,             0.10328,            0.080298,             0.10225,             0.55033,           0.0047577,           0.0005025,          9.1649e-05,             0.11502,            0.047046,             0.11371,           0.0099307,           0.0099307,           0.0099307
                   9,             0.10193,             0.06999,             0.10199,            0.014753,            0.025364,           0.0005314,          0.00016963,             0.11669,            0.044949,             0.12924,           0.0099208,           0.0099208,           0.0099208
                  10,             0.10121,            0.077714,             0.10139,            0.029266,           0.0065137,          0.00039817,           0.0001202,             0.11583,             0.04622,             0.13217,           0.0099109,           0.0099109,           0.0099109
                  11,             0.10081,             0.08758,             0.10109,             0.87639,          0.00078247,          0.00052845,           5.673e-05,             0.11581,            0.046143,             0.12771,            0.009901,            0.009901,            0.009901
