               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.09776,            0.082464,            0.088995,           0.0014136,           0.0091147,           0.0011623,          0.00021745,            0.097566,            0.059701,            0.087322,           0.0096634,           0.0096634,           0.0096634
                  36,            0.097432,            0.085234,            0.091747,             0.16096,           0.0068066,           0.0018367,          0.00050336,            0.097843,            0.062311,            0.085893,           0.0096535,           0.0096535,           0.0096535
                  37,            0.098013,            0.084038,            0.090573,          0.00052678,           0.0065293,          0.00038796,          6.1826e-05,            0.097193,            0.060432,            0.086052,           0.0096436,           0.0096436,           0.0096436
                  38,            0.098007,            0.078972,            0.087358,          0.00054878,           0.0002218,          5.3665e-05,          9.2754e-06,             0.10044,            0.074843,            0.086299,           0.0096337,           0.0096337,           0.0096337
                  39,            0.097119,             0.08847,             0.08782,             0.32772,           0.0066973,           0.0019068,          0.00032166,            0.096582,            0.057766,             0.08729,           0.0096238,           0.0096238,           0.0096238
                  40,            0.098673,            0.079511,            0.088191,            0.014712,          0.00055451,          0.00020112,          3.2539e-05,            0.096702,            0.062343,            0.084685,           0.0096139,           0.0096139,           0.0096139
                  41,            0.097023,            0.076137,            0.084853,          0.00040534,           0.0012199,          0.00010062,          1.5456e-05,             0.10028,            0.071619,            0.086103,            0.009604,            0.009604,            0.009604
                  42,            0.098852,             0.08172,             0.08936,            0.098892,          0.00060996,           5.683e-05,          1.2702e-05,            0.095991,            0.059775,            0.084857,           0.0095941,           0.0095941,           0.0095941
                  43,             0.09675,            0.077951,            0.087467,             0.19765,          0.00038816,          8.0977e-05,           1.707e-05,            0.095728,            0.059263,            0.085068,           0.0095842,           0.0095842,           0.0095842
                  44,            0.096524,            0.086808,            0.085424,            0.085075,          0.00038816,          7.8943e-05,          1.3785e-05,            0.095575,            0.059871,            0.084397,           0.0095743,           0.0095743,           0.0095743
                  45,            0.096172,            0.078246,            0.084871,             0.17024,           0.0055312,          0.00095673,          0.00016063,            0.095805,            0.057972,            0.085868,           0.0095644,           0.0095644,           0.0095644
                  46,             0.09698,            0.079367,            0.083718,            0.085845,            0.014641,           0.0011651,          0.00015753,            0.094988,            0.059796,            0.083507,           0.0095545,           0.0095545,           0.0095545
                  47,            0.096841,            0.086455,            0.084192,            0.056488,          0.00088721,          4.6692e-05,          7.5024e-06,            0.096125,            0.071557,            0.083732,           0.0095446,           0.0095446,           0.0095446
                  48,            0.095508,            0.079836,            0.083051,            0.070797,           0.0010536,          0.00013924,          2.4537e-05,            0.095371,            0.063361,            0.082658,           0.0095347,           0.0095347,           0.0095347
                  49,            0.095945,            0.085013,             0.08511,             0.35246,          0.00055451,          0.00011571,          1.8408e-05,            0.094817,             0.05879,            0.083448,           0.0095248,           0.0095248,           0.0095248
                  50,            0.095771,             0.08596,            0.084064,             0.22632,           0.0002218,           6.943e-05,          1.4025e-05,            0.094869,             0.06179,            0.082454,           0.0095149,           0.0095149,           0.0095149
                  51,            0.096277,            0.089184,            0.083079,            0.071366,          0.00049906,          0.00017863,           5.948e-05,            0.095628,             0.06537,            0.082252,            0.009505,            0.009505,            0.009505
                  52,            0.094775,            0.086592,             0.08709,             0.16989,          0.00049906,          0.00029636,          4.7273e-05,             0.09494,             0.06439,            0.081906,           0.0094951,           0.0094951,           0.0094951
                  53,            0.095054,            0.084893,            0.085071,             0.18709,            0.013712,           0.0023283,          0.00047412,            0.094247,            0.061051,            0.081806,           0.0094852,           0.0094852,           0.0094852
                  54,            0.095934,            0.084508,            0.084577,              0.2145,           0.0085533,           0.0021311,          0.00039519,            0.094477,             0.06131,            0.081836,           0.0094753,           0.0094753,           0.0094753
                  55,             0.09281,            0.085393,            0.083635,            0.030669,            0.006467,           0.0012012,          0.00042771,             0.09625,            0.072628,            0.082017,           0.0094654,           0.0094654,           0.0094654
                  56,            0.094608,            0.080354,            0.081193,            0.029094,           0.0044503,          0.00019428,          3.4672e-05,            0.096568,            0.069802,            0.082062,           0.0094555,           0.0094555,           0.0094555
                  57,            0.095417,            0.085468,            0.081566,            0.071459,          0.00083176,          0.00026608,          5.5436e-05,             0.09702,            0.067783,            0.081988,           0.0094456,           0.0094456,           0.0094456
                  58,            0.092854,            0.076249,            0.085437,             0.16977,            0.002912,          0.00020418,          4.9216e-05,             0.09457,            0.063407,            0.080611,           0.0094357,           0.0094357,           0.0094357
                  59,            0.095754,             0.08393,            0.082369,             0.18567,            0.018018,           0.0024681,          0.00032613,            0.093545,            0.059427,            0.081227,           0.0094258,           0.0094258,           0.0094258
